
2023/07/07 (19:30:50) | ===> btop++ v.1.2.13
2023/07/07 (19:30:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/07 (19:45:26) | ===> btop++ v.1.2.13
2023/07/07 (19:45:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/07 (20:02:59) | ===> btop++ v.1.2.13
2023/07/07 (20:02:59) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/07 (20:11:23) | ===> btop++ v.1.2.13
2023/07/07 (20:11:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/08 (00:45:35) | ===> btop++ v.1.2.13
2023/07/08 (00:45:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/09 (23:39:19) | ===> btop++ v.1.2.13
2023/07/09 (23:39:19) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/10 (13:56:56) | ===> btop++ v.1.2.13
2023/07/10 (13:56:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/10 (14:29:16) | ===> btop++ v.1.2.13
2023/07/10 (14:29:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/10 (20:50:29) | ===> btop++ v.1.2.13
2023/07/10 (20:50:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/10 (21:06:50) | ===> btop++ v.1.2.13
2023/07/10 (21:06:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
